Country name,Confirmed,Recovered,Deaths,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Regional indicator
Slovakia,4955880.0,2274861.0,32514.0,10.34774971,0.9224937559999999,68.90634155,0.7499526740000001,-0.12440930300000001,0.918096125,1.9723167419999998,Central and Eastern Europe
Slovenia,3273963.0,2044932.0,66716.0,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.9723167419999998,Central and Eastern Europe
South Africa,102242056.0,85822420.0,2415139.0,9.403370857,0.8525322679999999,56.50601196,0.7593300940000001,-0.10977732400000001,0.843423843,1.9723167419999998,Sub-Saharan Africa
South Korea,4890411.0,4060636.0,88841.0,10.51056671,0.7993871570000001,73.60272979999999,0.6129651070000001,-0.043404032,0.789067447,1.9723167419999998,East Asia
South Sudan,488973.0,219905.0,9125.0,7.425359726,0.553707123,51.0,0.451313615,0.016518548,0.7634173040000001,1.9723167419999998,Sub-Saharan Africa
Spain,146736851.0,35479322.0,7639465.0,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714000000005,0.765859902,1.9723167419999998,Western Europe
Sri Lanka,1315030.0,924824.0,5425.0,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,1.9723167419999998,South Asia
Sweden,21823106.0,160063.0,1261286.0,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,1.9723167419999998,Western Europe
Switzerland,19973367.0,13869583.0,557975.0,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,1.9723167419999998,Western Europe
Tajikistan,1720123.0,1465302.0,14109.0,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.5920760629999999,1.9723167419999998,Commonwealth of Independent States
Tanzania,118042.0,41434.0,4820.0,7.967665195,0.6889331940000001,57.49607468,0.82153976,0.10966868699999999,0.619799435,1.9723167419999998,Sub-Saharan Africa
Thailand,856215.0,777545.0,14236.0,9.741791725,0.8899732229999999,67.25059509,0.905063033,0.268685192,0.8862723109999999,1.9723167419999998,Southeast Asia
Togo,306508.0,223138.0,7294.0,7.357711315,0.551312625,54.71989822,0.6498286129999999,0.002667875,0.7577334640000001,1.9723167419999998,Sub-Saharan Africa
Trinidad and Tobago,542052.0,382378.0,10363.0,10.26000214,0.91529417,63.5,0.8579071159999999,0.000526841,0.9122306109999999,1.9723167419999998,Latin America and Caribbean
Tunisia,4966821.0,2559765.0,133052.0,9.314972877999999,0.6887185570000001,66.89785767,0.593361557,-0.216413811,0.867590249,1.9723167419999998,Middle East and North Africa
Turkey,66511986.0,53172813.0,1661771.0,10.12941933,0.826313555,66.90281677,0.6088304520000001,-0.17104643600000002,0.748197377,1.9723167419999998,Middle East and North Africa
Uganda,1290281.0,684493.0,11574.0,7.500389576,0.7649946209999999,55.70820236,0.7317139509999999,0.099487431,0.8367378120000001,1.9723167419999998,Sub-Saharan Africa
Ukraine,45100462.0,20934114.0,861189.0,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706000000002,0.920636714,1.9723167419999998,Commonwealth of Independent States
United Arab Emirates,17982336.0,15557244.0,85594.0,11.1099987,0.8491811159999999,67.08278656,0.941345513,0.123450845,0.594502211,1.9723167419999998,Middle East and North Africa
United Kingdom,128321450.0,449093.0,10217281.0,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.43591591700000004,1.9723167419999998,Western Europe
Uruguay,465680.0,371795.0,9523.0,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,1.9723167419999998,Latin America and Caribbean
Uzbekistan,8013170.0,7241061.0,62144.0,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,1.9723167419999998,Commonwealth of Independent States
Venezuela,9876958.0,8527698.0,84762.0,8.977793693999999,0.890408158,66.50534058,0.62327832,-0.16909050899999997,0.837038398,1.9723167419999998,Latin America and Caribbean
Vietnam,188083.0,153619.0,4138.0,8.809545517,0.849987149,67.95273590000001,0.939592957,-0.094533332,0.79642123,1.9723167419999998,Southeast Asia
Yemen,338531.0,192481.0,95897.0,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,1.9723167419999998,Middle East and North Africa
Zambia,2015131.0,1836532.0,44784.0,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,1.9723167419999998,Sub-Saharan Africa
Zimbabwe,1065264.0,833114.0,29474.0,7.865711688999999,0.7630927559999999,55.61725998,0.711457908,-0.072063953,0.81023699,1.9723167419999998,Sub-Saharan Africa
